ices_area,subarea,area
27.7e-k,7e-k,493323.7922
27.7b-k8abd,7b-k8abd,932897.3491
27.78abd,78abd,983266.8303
27.7h-k,7h-k,370491.0182
27.7fg,7fg,66462.96525
27.7de,7de,89701.57016
27.7b-ce-k,7b-ce-k,617499.7102
27.3a4,3a4,666504.5488
27.nea,7.nea,
27.2a4a5b6a7a-ce-k,2a4a5b6a7a-ce-k,2772264.427
27.3a46-8abd,3a46-8abd,1526336.034
27.1-91214,1-91214,3708580.637
27.7b-k,7b-k,650831.4716
27.irls,irls,
27.6-8,.6-8,1441776.277000
27.5a,5a,164897.429500
27.7.A,7.A,50369.481161
27.7.B,7.B,35554.918982
27.7.C,7.C,88620.999025
27.7.D,7.D,33331.761464
27.7.E,7.E,56369.808672
27.7.F,7.F,18876.485999
27.7.G,7.G,47586.479253
27.7.H,7.H,57060.778854
27.7.J,7.J,99281.04906
27.7.K,7.K,214149.1903
