species,age,length
Haddock,3,34
Haddock,2,33
Haddock,5,38
Haddock,4,36
Haddock,6,41
Whiting,6,33
Whiting,4,31
Whiting,10,37
Whiting,3,30
Whiting,5,33
Whiting,9,33
Whiting,7,31
Whiting,8,32
Whiting,2,30
Cod,3,56
Cod,2,42
Cod,5,90
Cod,4,61
Haddock,4,36
Haddock,6,42
Haddock,3,34
Haddock,2,33
Haddock,5,38
Plaice,3,32
Plaice,2,30
Plaice,1,27
Plaice,0,16
Plaice,19,37
Plaice,17,32
Plaice,16,34
Plaice,15,37
Plaice,14,33
Plaice,13,34
Plaice,12,33
Plaice,11,33
Plaice,10,33
Plaice,9,33
Plaice,8,32
Plaice,7,33
Plaice,6,32
Plaice,5,32
Plaice,4,32
Sole,3,25
Sole,10,30
Sole,8,32
Sole,1,22
Sole,13,38
Sole,11,29
Sole,5,30
Sole,14,36
Sole,9,31
Sole,7,29
Sole,6,30
Sole,4,27
Sole,2,23
Whiting,9,36
Whiting,5,34
Whiting,6,34
Whiting,3,30
Whiting,2,30
Whiting,10,38
Whiting,11,41
Whiting,4,33
Whiting,8,32
Whiting,1,16
Whiting,7,33
Herring,3,24
Herring,6,27
Herring,2,22
Herring,5,27
Herring,8,28
Herring,9,24
Herring,4,24
Herring,7,26
Sole,7,39
Sole,24,44
Sole,27,49
Sole,26,43
Sole,25,49
Sole,16,40
Sole,23,49
Sole,12,42
Sole,13,41
Sole,8,40
Sole,14,41
Sole,15,40
Sole,4,33
Sole,5,33
Sole,2,26
Sole,3,31
Sole,17,43
Sole,38,49
Sole,18,43
Sole,19,43
Sole,20,49
Sole,21,48
Sole,22,49
Sole,6,39
Sole,11,39
Sole,10,39
Sole,9,38
Sole,29,44
Sole,30,49
Sole,32,49
Cod,2,51
Cod,4,73
Cod,3,64
Plaice,8,42
Plaice,15,49
Plaice,1,30
Plaice,2,33
Plaice,10,42
Plaice,14,48
Plaice,9,41
Plaice,17,46
Plaice,5,38
Plaice,3,36
Plaice,13,45
Plaice,4,36
Plaice,19,56
Plaice,12,43
Plaice,11,43
Plaice,6,40
Plaice,16,46
Plaice,7,40
Sole,7,40
Sole,26,39
Sole,16,40
Sole,19,42
Sole,5,38
Sole,20,41
Sole,17,39
Sole,21,43
Sole,2,28
Sole,3,35
Sole,14,41
Sole,12,41
Sole,6,39
Sole,13,41
Sole,25,43
Sole,10,41
Sole,23,46
Sole,22,42
Sole,11,41
Sole,9,41
Sole,8,40
Sole,4,35
Sole,24,42
Sole,15,42
Sole,18,43
Plaice,19,55
